district,date,floor,style,use,city
文山區,2018-12-19,33,住宅大樓(11層含以上有電梯),住家用,台北市
文山區,2018-12-04,13,住宅大樓(11層含以上有電梯),商業用,台北市
文山區,2019-01-09,4,公寓(5樓含以下無電梯),其他,台北市
文山區,2019-01-06,5,公寓(5樓含以下無電梯),住家用,台北市
中正區,2018-12-25,12,住宅大樓(11層含以上有電梯),見其他登記事項,台北市
文山區,2019-01-23,14,其他,見其他登記事項,台北市
文山區,2019-01-22,7,華廈(10層含以下有電梯),見其他登記事項,台北市
文山區,2018-12-19,9,其他,住家用,台北市
萬華區,2018-12-30,19,住宅大樓(11層含以上有電梯),見其他登記事項,台北市
萬華區,2018-11-05,21,住宅大樓(11層含以上有電梯),住家用,台北市
萬華區,2019-01-23,2,公寓(5樓含以下無電梯),住家用,台北市
大同區,2019-01-15,14,住宅大樓(11層含以上有電梯),住家用,台北市
大同區,2019-01-15,14,住宅大樓(11層含以上有電梯),住家用,台北市
大同區,2019-01-15,14,住宅大樓(11層含以上有電梯),住家用,台北市
大同區,2019-01-15,14,住宅大樓(11層含以上有電梯),住家用,台北市
大同區,2019-01-15,14,住宅大樓(11層含以上有電梯),住家用,台北市
大同區,2019-01-15,14,住宅大樓(11層含以上有電梯),住家用,台北市
大同區,2019-01-15,14,住宅大樓(11層含以上有電梯),住家用,台北市
大同區,2019-01-15,14,住宅大樓(11層含以上有電梯),住家用,台北市
萬華區,2018-12-30,19,住宅大樓(11層含以上有電梯),見其他登記事項,台北市
萬華區,2018-12-20,19,住宅大樓(11層含以上有電梯),見其他登記事項,台北市
萬華區,2018-11-28,14,住宅大樓(11層含以上有電梯),住家用,台北市
內湖區,2019-01-16,11,住宅大樓(11層含以上有電梯),住家用,台北市
內湖區,2019-01-13,14,住宅大樓(11層含以上有電梯),住家用,台北市
內湖區,2019-01-03,5,公寓(5樓含以下無電梯),住家用,台北市
內湖區,2019-01-09,5,華廈(10層含以下有電梯),住家用,台北市
中山區,2018-12-21,7,店面(店鋪),見使用執照,台北市
內湖區,2018-03-20,9,華廈(10層含以下有電梯),住家用,台北市
內湖區,2018-02-05,9,華廈(10層含以下有電梯),住家用,台北市
內湖區,2019-01-26,13,其他,見使用執照,台北市
中山區,2018-12-20,12,住宅大樓(11層含以上有電梯),住家用,台北市
