district,date,floor,style,use,city
西區,2018-12-04,2,店面(店鋪),商業用,台中市
南區,2018-12-31,2,透天厝,住家用,台中市
南區,2018-12-12,2,透天厝,商業用,台中市
南區,2019-01-23,12,住宅大樓(11層含以上有電梯),住家用,台中市
北區,2019-01-14,12,辦公商業大樓,商業用,台中市
北區,2018-12-18,5,公寓(5樓含以下無電梯),住家用,台中市
北區,2019-01-09,2,透天厝,住家用,台中市
北區,2018-12-27,5,公寓(5樓含以下無電梯),商業用,台中市
北區,2019-01-24,10,套房(1房1廳1衛),商業用,台中市
北區,2018-12-24,5,透天厝,住家用,台中市
北區,2018-12-29,12,住宅大樓(11層含以上有電梯),住家用,台中市
北屯區,2018-11-21,5,公寓(5樓含以下無電梯),住家用,台中市
北區,2019-01-05,12,住宅大樓(11層含以上有電梯),住家用,台中市
北屯區,2018-12-28,11,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
北區,2018-12-25,8,華廈(10層含以下有電梯),住家用,台中市
北屯區,2018-12-29,5,公寓(5樓含以下無電梯),住家用,台中市
北屯區,2018-12-21,11,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
北屯區,2018-12-21,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
北區,2018-11-30,3,透天厝,商業用,台中市
北屯區,2019-01-03,7,華廈(10層含以下有電梯),住家用,台中市
北屯區,2018-12-18,13,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
北屯區,2018-12-15,14,住宅大樓(11層含以上有電梯),住家用,台中市
北屯區,2018-12-20,17,住宅大樓(11層含以上有電梯),住家用,台中市
南屯區,2018-12-31,29,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
南屯區,2018-12-31,14,住宅大樓(11層含以上有電梯),住家用,台中市
南屯區,2018-12-19,17,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
西屯區,2018-12-30,24,住宅大樓(11層含以上有電梯),住家用,台中市
西屯區,2019-01-11,8,華廈(10層含以下有電梯),住家用,台中市
西屯區,2019-01-05,12,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
南屯區,2019-01-18,14,住宅大樓(11層含以上有電梯),住家用,台中市
南屯區,2019-01-05,14,住宅大樓(11層含以上有電梯),住家用,台中市
南屯區,2019-01-06,18,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
南屯區,2019-01-12,18,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
南屯區,2018-12-29,2,透天厝,住家用,台中市
西屯區,2018-10-22,12,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
南屯區,2018-12-08,14,住宅大樓(11層含以上有電梯),住家用,台中市
南屯區,2018-12-28,12,住宅大樓(11層含以上有電梯),住家用,台中市
西屯區,2019-01-04,26,住宅大樓(11層含以上有電梯),住家用,台中市
豐原區,2019-01-01,2,透天厝,商業用,台中市
豐原區,2018-11-29,3,透天厝,住商用,台中市
豐原區,2018-12-28,2,透天厝,住商用,台中市
豐原區,2019-01-01,4,透天厝,見其他登記事項,台中市
外埔區,2019-01-13,4,透天厝,見其他登記事項,台中市
外埔區,2019-01-02,2,透天厝,住家用,台中市
沙鹿區,2018-12-01,4,透天厝,見其他登記事項,台中市
清水區,2019-01-09,14,住宅大樓(11層含以上有電梯),住家用,台中市
清水區,2018-12-10,11,住宅大樓(11層含以上有電梯),住家用,台中市
東勢區,2019-01-09,3,透天厝,住家用,台中市
潭子區,2018-12-18,16,住宅大樓(11層含以上有電梯),住家用,台中市
大雅區,2019-01-18,4,透天厝,見其他登記事項,台中市
大雅區,2018-12-15,4,透天厝,見其他登記事項,台中市
大雅區,2019-01-14,4,透天厝,見其他登記事項,台中市
烏日區,2019-01-12,16,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
大里區,2018-12-26,11,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
大里區,2018-12-05,3,透天厝,見其他登記事項,台中市
烏日區,2019-01-08,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
大里區,2018-12-26,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
烏日區,2018-12-31,12,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
大里區,2018-12-07,8,華廈(10層含以下有電梯),見其他登記事項,台中市
大里區,2019-01-02,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
太平區,2019-01-05,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
太平區,2019-01-04,1,廠辦,見其他登記事項,台中市
太平區,2018-12-07,12,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
太平區,2019-01-13,14,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
太平區,2018-01-07,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
太平區,2018-09-01,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
太平區,2018-11-16,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
太平區,2018-12-04,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
太平區,2019-01-03,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
西屯區,2018-12-12,12,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
龍井區,2019-01-18,4,透天厝,見其他登記事項,台中市
龍井區,2019-01-18,4,透天厝,見其他登記事項,台中市
龍井區,2018-01-13,3,透天厝,見其他登記事項,台中市
太平區,2019-01-05,4,透天厝,見其他登記事項,台中市
太平區,2019-01-16,5,公寓(5樓含以下無電梯),見其他登記事項,台中市
太平區,2019-01-17,2,透天厝,見其他登記事項,台中市
大里區,2018-11-23,3,透天厝,住家用,台中市
霧峰區,2018-11-12,5,透天厝,見其他登記事項,台中市
烏日區,2019-01-06,7,華廈(10層含以下有電梯),見其他登記事項,台中市
大里區,2019-01-14,7,華廈(10層含以下有電梯),見其他登記事項,台中市
大里區,2019-01-07,4,透天厝,見其他登記事項,台中市
烏日區,2019-01-05,13,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
大里區,2019-01-16,11,套房(1房1廳1衛),見其他登記事項,台中市
大雅區,2018-12-31,4,透天厝,見其他登記事項,台中市
潭子區,2019-01-24,17,套房(1房1廳1衛),住家用,台中市
清水區,2018-10-19,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
沙鹿區,2018-12-26,3,透天厝,見其他登記事項,台中市
沙鹿區,2019-01-05,5,套房(1房1廳1衛),住家用,台中市
清水區,2019-01-14,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
沙鹿區,2018-12-23,7,華廈(10層含以下有電梯),見其他登記事項,台中市
梧棲區,2019-01-09,3,透天厝,住家用,台中市
沙鹿區,2018-11-18,2,透天厝,住家用,台中市
大甲區,2018-12-10,1,透天厝,住家用,台中市
豐原區,2018-12-27,6,華廈(10層含以下有電梯),住家用,台中市
后里區,2019-01-30,3,公寓(5樓含以下無電梯),住商用,台中市
神岡區,2018-12-31,4,透天厝,見其他登記事項,台中市
神岡區,2019-01-16,2,透天厝,住家用,台中市
后里區,2019-01-06,9,華廈(10層含以下有電梯),見其他登記事項,台中市
豐原區,2019-01-08,14,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
豐原區,2018-12-14,14,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
豐原區,2019-01-09,4,透天厝,見其他登記事項,台中市
豐原區,2018-12-07,5,透天厝,見其他登記事項,台中市
西屯區,2019-01-20,22,住宅大樓(11層含以上有電梯),住家用,台中市
西屯區,2018-12-03,6,華廈(10層含以下有電梯),住家用,台中市
西屯區,2019-01-25,8,華廈(10層含以下有電梯),住家用,台中市
南屯區,2018-11-16,14,住宅大樓(11層含以上有電梯),住家用,台中市
西屯區,2018-12-21,4,公寓(5樓含以下無電梯),住家用,台中市
西屯區,2019-01-08,4,透天厝,見其他登記事項,台中市
西屯區,2019-01-12,13,住宅大樓(11層含以上有電梯),住家用,台中市
西屯區,2019-01-16,12,住宅大樓(11層含以上有電梯),住家用,台中市
南屯區,2019-01-04,9,華廈(10層含以下有電梯),住家用,台中市
西屯區,2019-01-02,6,華廈(10層含以下有電梯),住家用,台中市
西屯區,2019-01-18,21,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
西屯區,2018-12-12,5,透天厝,見其他登記事項,台中市
西屯區,2019-01-20,15,套房(1房1廳1衛),住家用,台中市
南屯區,2019-01-15,5,透天厝,見其他登記事項,台中市
西屯區,2019-01-06,13,套房(1房1廳1衛),住家用,台中市
北屯區,2018-12-25,5,透天厝,見其他登記事項,台中市
北區,2019-01-14,3,透天厝,見其他登記事項,台中市
北屯區,2018-12-21,5,公寓(5樓含以下無電梯),住家用,台中市
北屯區,2018-12-30,14,住宅大樓(11層含以上有電梯),住家用,台中市
北屯區,2018-12-31,4,透天厝,見其他登記事項,台中市
北區,2018-09-01,4,公寓(5樓含以下無電梯),住家用,台中市
北區,2019-01-18,3,公寓(5樓含以下無電梯),住家用,台中市
北屯區,2019-01-06,12,住宅大樓(11層含以上有電梯),住家用,台中市
北區,2019-01-02,5,公寓(5樓含以下無電梯),商業用,台中市
北區,2018-12-24,5,公寓(5樓含以下無電梯),住家用,台中市
北屯區,2018-01-04,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
北屯區,2019-01-15,12,住宅大樓(11層含以上有電梯),住家用,台中市
北屯區,2019-01-16,3,透天厝,見其他登記事項,台中市
北屯區,2018-12-23,5,公寓(5樓含以下無電梯),住家用,台中市
北區,2019-01-05,28,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
北屯區,2018-12-29,14,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
北區,2018-12-03,7,華廈(10層含以下有電梯),商業用,台中市
北屯區,2019-01-20,13,住宅大樓(11層含以上有電梯),住家用,台中市
西區,2019-01-14,12,住宅大樓(11層含以上有電梯),住家用,台中市
東區,2019-01-11,14,住宅大樓(11層含以上有電梯),住家用,台中市
南區,2018-12-29,12,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
西區,2018-12-28,5,公寓(5樓含以下無電梯),住家用,台中市
南區,2019-01-21,14,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
南區,2018-12-20,12,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
南區,2019-01-07,2,透天厝,商業用,台中市
西區,2018-12-05,4,公寓(5樓含以下無電梯),住家用,台中市
南區,2018-12-31,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
南區,2019-01-04,2,透天厝,住家用,台中市
西區,2018-12-10,20,辦公商業大樓,商業用,台中市
東區,2019-01-04,4,透天厝,住商用,台中市
西區,2019-01-06,15,住宅大樓(11層含以上有電梯),見其他登記事項,台中市
