district,date,floor,style,use,city
前金區,2018-12-21,12,住宅大樓(11層含以上有電梯),住家用,高雄市
鼓山區,2018-12-13,24,住宅大樓(11層含以上有電梯),住家用,高雄市
前金區,2019-01-22,14,住宅大樓(11層含以上有電梯),住家用,高雄市
鼓山區,2019-01-12,14,住宅大樓(11層含以上有電梯),住家用,高雄市
鼓山區,2018-12-09,26,住宅大樓(11層含以上有電梯),見其它登記事項,高雄市
新興區,2019-01-06,10,華廈(10層含以下有電梯),其他,高雄市
苓雅區,2018-12-16,4,公寓(5樓含以下無電梯),其他,高雄市
新興區,2019-01-10,7,華廈(10層含以下有電梯),其他,高雄市
苓雅區,2019-01-01,5,公寓(5樓含以下無電梯),其他,高雄市
小港區,2019-01-09,8,華廈(10層含以下有電梯),住家用,高雄市
前鎮區,2019-01-02,7,華廈(10層含以下有電梯),住家用,高雄市
前鎮區,2019-01-14,4,公寓(5樓含以下無電梯),其他,高雄市
前鎮區,2018-12-13,18,住宅大樓(11層含以上有電梯),見其它登記事項,高雄市
前鎮區,2018-12-14,18,住宅大樓(11層含以上有電梯),見其它登記事項,高雄市
前鎮區,2018-12-23,18,住宅大樓(11層含以上有電梯),見其它登記事項,高雄市
小港區,2019-01-10,5,公寓(5樓含以下無電梯),住家用,高雄市
前鎮區,2019-01-12,5,公寓(5樓含以下無電梯),其他,高雄市
前鎮區,2018-12-02,2,透天厝,住家用,高雄市
小港區,2018-12-22,14,住宅大樓(11層含以上有電梯),見其它登記事項,高雄市
三民區,2019-01-06,24,住宅大樓(11層含以上有電梯),住家用,高雄市
三民區,2018-12-12,5,透天厝,其他,高雄市
三民區,2018-11-22,5,公寓(5樓含以下無電梯),其他,高雄市
三民區,2018-12-30,15,住宅大樓(11層含以上有電梯),住家用,高雄市
三民區,2018-12-31,27,住宅大樓(11層含以上有電梯),住家用,高雄市
三民區,2018-10-17,29,住宅大樓(11層含以上有電梯),見其它登記事項,高雄市
三民區,2018-06-30,29,住宅大樓(11層含以上有電梯),見其它登記事項,高雄市
三民區,2018-12-29,23,住宅大樓(11層含以上有電梯),住家用,高雄市
三民區,2018-12-20,14,住宅大樓(11層含以上有電梯),住家用,高雄市
三民區,2018-12-13,5,公寓(5樓含以下無電梯),其他,高雄市
左營區,2019-01-03,16,住宅大樓(11層含以上有電梯),住家用,高雄市
楠梓區,2019-01-09,4,透天厝,住家用,高雄市
左營區,2018-12-31,14,住宅大樓(11層含以上有電梯),住家用,高雄市
左營區,2018-12-21,14,住宅大樓(11層含以上有電梯),住家用,高雄市
楠梓區,2019-01-10,2,透天厝,其他,高雄市
楠梓區,2019-01-28,6,套房(1房1廳1衛),住家用,高雄市
左營區,2019-01-10,15,住宅大樓(11層含以上有電梯),住家用,高雄市
左營區,2019-01-06,13,住宅大樓(11層含以上有電梯),見其它登記事項,高雄市
楠梓區,2019-01-11,15,住宅大樓(11層含以上有電梯),見其它登記事項,高雄市
楠梓區,2018-12-25,15,住宅大樓(11層含以上有電梯),見其它登記事項,高雄市
楠梓區,2018-12-27,15,住宅大樓(11層含以上有電梯),見其它登記事項,高雄市
