district,date,floor,style,use,city
板橋區,2018-11-17,9,華廈(10層含以下有電梯),住家用,新北市
板橋區,2018-12-14,26,住宅大樓(11層含以上有電梯),住家用,新北市
土城區,2018-12-24,18,套房(1房1廳1衛),住家用,新北市
土城區,2019-01-11,12,住宅大樓(11層含以上有電梯),住家用,新北市
板橋區,2019-01-11,4,公寓(5樓含以下無電梯),住家用,新北市
板橋區,2018-06-15,4,公寓(5樓含以下無電梯),住家用,新北市
板橋區,2018-12-15,40,住宅大樓(11層含以上有電梯),住家用,新北市
板橋區,2016-08-13,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-28,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-14,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-28,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2017-03-13,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-12,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-08-11,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-08-11,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2019-01-14,22,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
土城區,2019-01-07,6,華廈(10層含以下有電梯),住家用,新北市
板橋區,2016-07-20,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
土城區,2019-01-10,12,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-15,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-22,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-13,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-07,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-09,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-11,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-11,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-14,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-11,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-22,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-13,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-12,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-12,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-11,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-11,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
板橋區,2016-07-14,19,住宅大樓(11層含以上有電梯),見其他登記事項,新北市
