district,date,floor,style,use,city
桃園區,2018-12-27,7,華廈(10層含以下有電梯),住家用,桃園市
桃園區,2018-12-27,7,華廈(10層含以下有電梯),住家用,桃園市
桃園區,2018-12-26,16,住宅大樓(11層含以上有電梯),住家用,桃園市
桃園區,2019-01-12,7,華廈(10層含以下有電梯),住家用,桃園市
桃園區,2018-12-14,11,住宅大樓(11層含以上有電梯),住家用,桃園市
桃園區,2019-01-19,15,住宅大樓(11層含以上有電梯),住家用,桃園市
桃園區,2019-01-05,13,住宅大樓(11層含以上有電梯),住家用,桃園市
桃園區,2018-12-23,10,華廈(10層含以下有電梯),住商用,桃園市
桃園區,2018-11-24,16,住宅大樓(11層含以上有電梯),住家用,桃園市
桃園區,2018-12-15,9,華廈(10層含以下有電梯),住家用,桃園市
桃園區,2018-12-30,17,住宅大樓(11層含以上有電梯),住家用,桃園市
中壢區,2018-12-19,10,華廈(10層含以下有電梯),住家用,桃園市
中壢區,2018-12-12,14,住宅大樓(11層含以上有電梯),住家用,桃園市
中壢區,2019-01-22,13,住宅大樓(11層含以上有電梯),見其他登記事項,桃園市
中壢區,2019-01-22,13,住宅大樓(11層含以上有電梯),見其他登記事項,桃園市
大溪區,2018-11-18,15,住宅大樓(11層含以上有電梯),見其他登記事項,桃園市
楊梅區,2018-12-17,15,住宅大樓(11層含以上有電梯),住家用,桃園市
新屋區,2018-12-30,2,透天厝,住家用,桃園市
大園區,2018-12-19,2,透天厝,見其他登記事項,桃園市
蘆竹區,2019-01-07,4,透天厝,見其他登記事項,桃園市
大園區,2019-01-08,4,透天厝,見其他登記事項,桃園市
蘆竹區,2018-12-19,3,透天厝,住家用,桃園市
八德區,2018-12-23,15,住宅大樓(11層含以上有電梯),住家用,桃園市
八德區,2019-01-10,15,住宅大樓(11層含以上有電梯),住家用,桃園市
八德區,2018-12-21,17,住宅大樓(11層含以上有電梯),住家用,桃園市
平鎮區,2018-12-29,2,透天厝,住家用,桃園市
平鎮區,2017-12-05,14,住宅大樓(11層含以上有電梯),住家用,桃園市
龜山區,2018-12-13,14,住宅大樓(11層含以上有電梯),住家用,桃園市
桃園區,2018-12-28,12,住宅大樓(11層含以上有電梯),住家用,桃園市
中壢區,2018-12-09,15,住宅大樓(11層含以上有電梯),見其他登記事項,桃園市
中壢區,2019-01-08,15,住宅大樓(11層含以上有電梯),見其他登記事項,桃園市
龜山區,2019-01-15,19,住宅大樓(11層含以上有電梯),住家用,桃園市
桃園區,2019-01-10,9,華廈(10層含以下有電梯),住家用,桃園市
桃園區,2019-01-15,4,公寓(5樓含以下無電梯),商業用,桃園市
觀音區,2018-04-07,5,華廈(10層含以下有電梯),見其他登記事項,桃園市
大園區,2019-01-23,2,透天厝,住商用,桃園市
